Sentence,class,file
The map data are copyrighted by Open- StreetMap contributors and is available from https://www.openstreetmap.org.,OADS,2002.10298v2.pdf
"∗b.li10@aston.ac.uk †d.saad@aston.ac.uk ‡lokhov@lanl.gov [1] David Schrank, Bill Eisele, and Tim Lomax, “2019 ur- banmobilityreport,” https://mobility.tamu.edu/umr/ report/ (2019).",Non-OADS,2002.10298v2.pdf
"[3] Department for Transport, “Transport statistics great britain: 2018,” https://assets.publishing.service.",Non-OADS,2002.10298v2.pdf
"[4] Shakir Akorede, “Employees in lagos are stressed, burned out and exhausted because of ’hellish traﬃc’,” CNN, https://edition.cnn.com/travel/article/ traffic-stress-lagos-nigeria/index.html (2019).",Non-OADS,2002.10298v2.pdf
"[24] “Electronic road pricing,” https://web.archive.",Non-OADS,2002.10298v2.pdf
org/web/20110605101108/http://www.lta.gov.sg/ motoring_matters/index_motoring_erp.htm (2019).,Non-OADS,2002.10298v2.pdf
"[25] Naama Barak, “Israel tries battling traﬃc jams with cash handouts,” ISRAEL21c, https://www.israel21c.org/ israel-tries-battling-traffic-jams-with-cash-handouts/ (2019).",Non-OADS,2002.10298v2.pdf
"[30] OpenStreetMap contributors, “Planet dump re- trieved from https://planet.osm.org,” https: //www.openstreetmap.org (2017).",Non-OADS,2002.10298v2.pdf
References   [1] International Roadmap for Devices and Systems https://irds.ieee.org/roadmap -2017 (2017).,OADS,2002.10299v3.pdf
https://doi.org/10.1016/j.jpaa.2019.106240 .,Non-OADS,2002.10300v1.pdf
Available: http://arxiv.org/abs/1905.06265 26,Non-OADS,2002.10301v2.pdf
"Available: https://doi.org/10.1007/BF00535354 [36] B. Kloeckner, \Eective Berry{Esseen and concentration bounds for markov chains with a spectral gap,"" Ann.",OADS,2002.10301v2.pdf
"Available: https://doi.org/10.1214/18-AAP1438 [37] A. M. Devraj, A. Bu si c, and S. Meyn, \Zap Q-Learning { a user's guide,"" in Proc.",OADS,2002.10301v2.pdf
"On-line edition at http://www.cs.ualberta.ca/ sutton/book/the-book.html, 2018.",Non-OADS,2002.10301v2.pdf
Available: http://dx.doi.org/10.1109/9.793723 [44] D. Choi and B.,OADS,2002.10301v2.pdf
"Available: http://dx.doi.org/10.1007/s10479-012-1128-z [46] P. G. Mehta and S. P. Meyn, \Q-learning and Pontryagin's minimum principle,"" in Proc.",Non-OADS,2002.10301v2.pdf
