Sentence,class,file
45:569 – 606. http://dx.doi.org/ 10.1146/annurev.mi.45.100191.003033 .,Non-OADS,/arxiv_data1/oa_pdf/72/8a/mBio.00933-13.PMC3950512.pdf
http://dx.doi.org/10.1128/JB.01319-10 .,Non-OADS,/arxiv_data1/oa_pdf/72/8a/mBio.00933-13.PMC3950512.pdf
http://dx.doi.org/10.1016/0305- 1978(92)90050-N .,OADS,/arxiv_data1/oa_pdf/72/8a/mBio.00933-13.PMC3950512.pdf
http://dx.doi.org/10.1104/ pp.103.037556 .,Non-OADS,/arxiv_data1/oa_pdf/72/8a/mBio.00933-13.PMC3950512.pdf
http://dx.doi.org/10.1094/MPMI-4-571 .,Non-OADS,/arxiv_data1/oa_pdf/72/8a/mBio.00933-13.PMC3950512.pdf
http://dx.doi.org/10.1111/ j.1574-6968.1994.tb06655.x .,Non-OADS,/arxiv_data1/oa_pdf/72/8a/mBio.00933-13.PMC3950512.pdf
http://dx.doi.org/10.1007/BF00414429 .,Non-OADS,/arxiv_data1/oa_pdf/72/8a/mBio.00933-13.PMC3950512.pdf
http://dx.doi.org/10.1038/nature12576 .,Non-OADS,/arxiv_data1/oa_pdf/72/8a/mBio.00933-13.PMC3950512.pdf
http://dx.doi.org/10.1099/mic.0.2008/022772-0 .,Non-OADS,/arxiv_data1/oa_pdf/72/8a/mBio.00933-13.PMC3950512.pdf
http://dx.doi.org/ 10.1128/JB.01456-07 .,Non-OADS,/arxiv_data1/oa_pdf/72/8a/mBio.00933-13.PMC3950512.pdf
183:664 – 670. http://dx.doi.org/ 10.1128/JB.183.2.664-670.2001 .,Non-OADS,/arxiv_data1/oa_pdf/72/8a/mBio.00933-13.PMC3950512.pdf
http://dx.doi.org/10.1093/nar/gki1928 .,Non-OADS,/arxiv_data1/oa_pdf/72/8a/mBio.00933-13.PMC3950512.pdf
http://dx.doi.org/ 10.1016/j.pep.2005.01.016 .,OADS,/arxiv_data1/oa_pdf/72/8a/mBio.00933-13.PMC3950512.pdf
62:72– 82. http://dx.doi.org/10.1107/ S0907444905036693 .,Non-OADS,/arxiv_data1/oa_pdf/72/8a/mBio.00933-13.PMC3950512.pdf
40: 658 – 674. http://dx.doi.org/10.1107/S0021889807021206 .,Non-OADS,/arxiv_data1/oa_pdf/72/8a/mBio.00933-13.PMC3950512.pdf
http://dx.doi.org/10.1038/nchembio.1087 .,Non-OADS,/arxiv_data1/oa_pdf/72/8a/mBio.00933-13.PMC3950512.pdf
http://dx.doi.org/10.1038/ nbt1183-784 .,Non-OADS,/arxiv_data1/oa_pdf/72/8a/mBio.00933-13.PMC3950512.pdf
http://dx.doi.org/10.1007/s002030050611 .,Non-OADS,/arxiv_data1/oa_pdf/72/8a/mBio.00933-13.PMC3950512.pdf
Analysis of relative gene expression data using real-time quantitative PCR and the 2(-Delta Delta C(T)) method.Methods 25:402– 408. http://dx.doi.org/10.1006/meth.2001.1262 .Catabolic Pathway for Proline Betaine January/February 2014 Volume 5 Issue 1 e00933-13®mbio.asm.org 13,OADS,/arxiv_data1/oa_pdf/72/8a/mBio.00933-13.PMC3950512.pdf
http://dx.doi.org/10.1097/QAD.0b013e328322ffac .,Non-OADS,/arxiv_data1/oa_pdf/67/56/mBio.00765-13.PMC3950514.pdf
http://dx.doi.org/10.1016/j.idc.2006.07.001 .,OADS,/arxiv_data1/oa_pdf/67/56/mBio.00765-13.PMC3950514.pdf
http://dx.doi.org/10.1128/ mBio.00165-12 .,Non-OADS,/arxiv_data1/oa_pdf/67/56/mBio.00765-13.PMC3950514.pdf
http://dx.doi.org/10.1086/649858 .,OADS,/arxiv_data1/oa_pdf/67/56/mBio.00765-13.PMC3950514.pdf
22: 455– 463. http://dx.doi.org/10.1097/QCO.0b013e32832fa214 .,Non-OADS,/arxiv_data1/oa_pdf/67/56/mBio.00765-13.PMC3950514.pdf
http://dx.doi.org/10.1086/ 604716 .,Non-OADS,/arxiv_data1/oa_pdf/67/56/mBio.00765-13.PMC3950514.pdf
http://dx.doi.org/10.1371/ journal.ppat.1002870 .,Non-OADS,/arxiv_data1/oa_pdf/67/56/mBio.00765-13.PMC3950514.pdf
http://dx.doi.org/ 10.1021/jm030480f .,Non-OADS,/arxiv_data1/oa_pdf/67/56/mBio.00765-13.PMC3950514.pdf
http://dx.doi.org/10.2174/156802612804547399 .,Non-OADS,/arxiv_data1/oa_pdf/67/56/mBio.00765-13.PMC3950514.pdf
http://dx.doi.org/10.1128/ EC.00314-12 .,Non-OADS,/arxiv_data1/oa_pdf/67/56/mBio.00765-13.PMC3950514.pdf
http://dx.doi.org/10.1128/AAC.01564-08 .,Non-OADS,/arxiv_data1/oa_pdf/67/56/mBio.00765-13.PMC3950514.pdf
7:499. http://dx.doi.org/10.1038/ msb.2011.31 .,Non-OADS,/arxiv_data1/oa_pdf/67/56/mBio.00765-13.PMC3950514.pdf
http://dx.doi.org/10.2165/00003088-200342040-00004 .,Non-OADS,/arxiv_data1/oa_pdf/67/56/mBio.00765-13.PMC3950514.pdf
Cell 9:835– 846. http://dx.doi.org/10.1128/EC.00039- 10.,OADS,/arxiv_data1/oa_pdf/67/56/mBio.00765-13.PMC3950514.pdf
http://dx.doi.org/10.1093/jac/34.6.1051 .,Non-OADS,/arxiv_data1/oa_pdf/67/56/mBio.00765-13.PMC3950514.pdf
http://dx.doi.org/10.1128/CMR.18.1.163-194.2005 .,OADS,/arxiv_data1/oa_pdf/67/56/mBio.00765-13.PMC3950514.pdf
http://dx.doi.org/10.1128/ AAC.44.3.739-746.2000 .,Non-OADS,/arxiv_data1/oa_pdf/67/56/mBio.00765-13.PMC3950514.pdf
96:636 – 637. http://dx.doi.org/10.1093/jnci/djh108 .,Non-OADS,/arxiv_data1/oa_pdf/67/56/mBio.00765-13.PMC3950514.pdf
http://dx.doi.org/10.1128/mBio.00158-11 .,Non-OADS,/arxiv_data1/oa_pdf/67/56/mBio.00765-13.PMC3950514.pdf
http://dx.doi.org/10.1086/315649 .,OADS,/arxiv_data1/oa_pdf/67/56/mBio.00765-13.PMC3950514.pdf
http://dx.doi.org/10.1093/jac/dkm219 .,Non-OADS,/arxiv_data1/oa_pdf/67/56/mBio.00765-13.PMC3950514.pdf
Cancer 63:641– 645. http://dx.doi.org/ 10.1038/bjc.1991.147 .,Non-OADS,/arxiv_data1/oa_pdf/67/56/mBio.00765-13.PMC3950514.pdf
Cell 126: 611– 625. http://dx.doi.org/10.1016/ j.cell.2006.06.040 .,OADS,/arxiv_data1/oa_pdf/67/56/mBio.00765-13.PMC3950514.pdf
http://dx.doi.org/10.1016/S0006-291X(03)01528-6 .,OADS,/arxiv_data1/oa_pdf/67/56/mBio.00765-13.PMC3950514.pdf
http://dx.doi.org/10.1371/journal.pone.0025280 .,Non-OADS,/arxiv_data1/oa_pdf/67/56/mBio.00765-13.PMC3950514.pdf
35:647– 672. http://dx.doi.org/10.1146/ annurev.genet.35.102401.091302 .,Non-OADS,/arxiv_data1/oa_pdf/67/56/mBio.00765-13.PMC3950514.pdf
http://dx.doi.org/10.1371/journal.pone.0051403 .,Non-OADS,/arxiv_data1/oa_pdf/67/56/mBio.00765-13.PMC3950514.pdf
http://dx.doi.org/10.1101/gad.11.24.3432 .,Non-OADS,/arxiv_data1/oa_pdf/67/56/mBio.00765-13.PMC3950514.pdf
http://dx.doi.org/10.1038/nchembio.1199 .,Non-OADS,/arxiv_data1/oa_pdf/67/56/mBio.00765-13.PMC3950514.pdf
http://dx.doi.org/10.1016/0006-2952(95)00186-4 .,OADS,/arxiv_data1/oa_pdf/67/56/mBio.00765-13.PMC3950514.pdf
http://dx.doi.org/10.1021/jm9505472 .,Non-OADS,/arxiv_data1/oa_pdf/67/56/mBio.00765-13.PMC3950514.pdf
"http://dx.doi.org/10.1074/ jbc.M303300200 .47.Edlind T, Smith L, Henry K, Katiyar S, Nickels J.",OADS,/arxiv_data1/oa_pdf/67/56/mBio.00765-13.PMC3950514.pdf
http://dx.doi.org/10.1046/j.1365- 2958.2002.03165.x .,Non-OADS,/arxiv_data1/oa_pdf/67/56/mBio.00765-13.PMC3950514.pdf
http://dx.doi.org/10.1016/ j.cell.2008.07.046 .,OADS,/arxiv_data1/oa_pdf/67/56/mBio.00765-13.PMC3950514.pdf
http://dx.doi.org/10.1186/gb-2006-7-7-r63 .,Non-OADS,/arxiv_data1/oa_pdf/67/56/mBio.00765-13.PMC3950514.pdf
http://dx.doi.org/ 10.1093/bioinformatics/19.2.185 .Anti-cryptococcal Activity of Estrogen Antagonists January/February 2014 Volume 5 Issue 1 e00765-13®mbio.asm.org 11,Non-OADS,/arxiv_data1/oa_pdf/67/56/mBio.00765-13.PMC3950514.pdf
An MPQS of /H110221.1 is considered reliable ( http://modbase.compbio.ucsf.edu/modbase-cgi/index.cgi ).,OADS,/arxiv_data1/oa_pdf/a2/8d/mBio.01024-13.PMC3950515.pdf
http://dx.doi.org/10.1016/ j.vaccine.2009.04.069 .,OADS,/arxiv_data1/oa_pdf/a2/8d/mBio.01024-13.PMC3950515.pdf
http://dx.doi.org/10.1111/j.1365-2958.1993.tb00922.x .,Non-OADS,/arxiv_data1/oa_pdf/a2/8d/mBio.01024-13.PMC3950515.pdf
Host glycoprotein Gp96 and scavenger receptor SREC interact with PorB ofdisseminating Neisseria gonorrhoeae in an epithelial invasion pathway.Cell Host Microbe 2:393– 403. http://dx.doi.org/10.1016/ j.chom.2007.11.002 .,Non-OADS,/arxiv_data1/oa_pdf/a2/8d/mBio.01024-13.PMC3950515.pdf
http://dx.doi.org/10.1046/j.1365-2958.1999.01459.x .,Non-OADS,/arxiv_data1/oa_pdf/a2/8d/mBio.01024-13.PMC3950515.pdf
Science 325: 83– 87. http://dx.doi.org/10.1126/ science.1173196 .,Non-OADS,/arxiv_data1/oa_pdf/a2/8d/mBio.01024-13.PMC3950515.pdf
http://dx.doi.org/10.1016/ j.cell.2010.11.035 .,OADS,/arxiv_data1/oa_pdf/a2/8d/mBio.01024-13.PMC3950515.pdf
http://dx.doi.org/10.1111/ j.1365-2958.1994.tb00349.x .,Non-OADS,/arxiv_data1/oa_pdf/a2/8d/mBio.01024-13.PMC3950515.pdf
http://dx.doi.org/10.1111/j.1365- 2958.2005.05002.x .,Non-OADS,/arxiv_data1/oa_pdf/a2/8d/mBio.01024-13.PMC3950515.pdf
http://dx.doi.org/10.1128/JB.00378-11 .,Non-OADS,/arxiv_data1/oa_pdf/a2/8d/mBio.01024-13.PMC3950515.pdf
http://dx.doi.org/10.1097/00005176- 198302030-00023 .,Non-OADS,/arxiv_data1/oa_pdf/a2/8d/mBio.01024-13.PMC3950515.pdf
72:859 – 868. http://dx.doi.org/10.1111/j.1365-2958.2009.06679.x .,Non-OADS,/arxiv_data1/oa_pdf/a2/8d/mBio.01024-13.PMC3950515.pdf
http://dx.doi.org/10.1046/j.1365- 2958.1999.01269.x .,Non-OADS,/arxiv_data1/oa_pdf/a2/8d/mBio.01024-13.PMC3950515.pdf
Nature 338:651– 652. http://dx.doi.org/10.1038/ 338651a0 .,Non-OADS,/arxiv_data1/oa_pdf/a2/8d/mBio.01024-13.PMC3950515.pdf
http://dx.doi.org/10.1126/science.1175653 .,Non-OADS,/arxiv_data1/oa_pdf/a2/8d/mBio.01024-13.PMC3950515.pdf
http://dx.doi.org/ 10.1534/genetics.166.1.25 .,Non-OADS,/arxiv_data1/oa_pdf/a2/8d/mBio.01024-13.PMC3950515.pdf
Cell23:651– 662. http://dx.doi.org/10.1016/j.molcel.2006.07.004 .,OADS,/arxiv_data1/oa_pdf/a2/8d/mBio.01024-13.PMC3950515.pdf
Vaccine 28:4817– 4826. http://dx.doi.org/10.1016/ j.vaccine.2010.04.065 .,Non-OADS,/arxiv_data1/oa_pdf/a2/8d/mBio.01024-13.PMC3950515.pdf
http://dx.doi.org/10.1371/ journal.pone.0017145 .,Non-OADS,/arxiv_data1/oa_pdf/a2/8d/mBio.01024-13.PMC3950515.pdf
http://dx.doi.org/10.1128/ IAI.05837-11 .,Non-OADS,/arxiv_data1/oa_pdf/a2/8d/mBio.01024-13.PMC3950515.pdf
http://dx.doi.org/10.1128/IAI.00369-12 .,Non-OADS,/arxiv_data1/oa_pdf/a2/8d/mBio.01024-13.PMC3950515.pdf
http://dx.doi.org/10.1111/ j.1365-2958.1993.tb01615.x .,Non-OADS,/arxiv_data1/oa_pdf/a2/8d/mBio.01024-13.PMC3950515.pdf
http://dx.doi.org/10.1073/ pnas.0911328107 .,Non-OADS,/arxiv_data1/oa_pdf/a2/8d/mBio.01024-13.PMC3950515.pdf
http://dx.doi.org/10.1002/prot.22500 .,Non-OADS,/arxiv_data1/oa_pdf/a2/8d/mBio.01024-13.PMC3950515.pdf
