Sentence,class,file
<http://www.cpso.on.ca/policies/positions/default.aspx?id=1732>.,Non-OADS,/arxiv_data1/oa_pdf/80/27/policy-12-018.PMC5473472.pdf
< http://www.carms.ca/en/data-and-reports/r-1/reports-2014/ >.,OADS,/arxiv_data1/oa_pdf/80/27/policy-12-018.PMC5473472.pdf
< http://healthydebate.ca/2011/03/topic/politics-of-health-care/ why-are-so-many-canadians-going-abroad-to-study-medicine >.,Non-OADS,/arxiv_data1/oa_pdf/80/27/policy-12-018.PMC5473472.pdf
< http://www.cic.gc.ca/english/pdf/pub/progress-report2011.pdf >.,Non-OADS,/arxiv_data1/oa_pdf/80/27/policy-12-018.PMC5473472.pdf
< http://www.healthforceontario.ca/ >.,Non-OADS,/arxiv_data1/oa_pdf/80/27/policy-12-018.PMC5473472.pdf
<http://mcc.ca/examinations/mccee/list-of-countries-for-prometric-centres/ >.,Non-OADS,/arxiv_data1/oa_pdf/80/27/policy-12-018.PMC5473472.pdf
< http://www.fairnesscommissioner.ca/files_docs/ content/pdf/en/study_of_qualifications_assessment_agencies_print_pdf_english.pdf >.,Non-OADS,/arxiv_data1/oa_pdf/80/27/policy-12-018.PMC5473472.pdf
< http://www.ontla.on.ca >.,Non-OADS,/arxiv_data1/oa_pdf/80/27/policy-12-018.PMC5473472.pdf
< http://hdl.handle.net/1807/31896 >.,Non-OADS,/arxiv_data1/oa_pdf/80/27/policy-12-018.PMC5473472.pdf
< http://www.peianc.com/content/lang/en/page/ resources_iehpmicrocredit >.,Non-OADS,/arxiv_data1/oa_pdf/80/27/policy-12-018.PMC5473472.pdf
< http://cou.on.ca/wp-content/uploads/2011/09/COU-Independent-Review-of-IMG- Selection-Volume-I.pdf >.,Non-OADS,/arxiv_data1/oa_pdf/80/27/policy-12-018.PMC5473472.pdf
< http://bayobserver.ca/hamilton-healthcare-providers-refuse-to-cooperate-with-refugee-health-cuts/ >.,Non-OADS,/arxiv_data1/oa_pdf/20/50/policy-12-046.PMC5473474.pdf
<http://www.cbc.ca/news/politics/mcallum-philpott-interim-federal-   health-program-refugees-1.3453397>.,Non-OADS,/arxiv_data1/oa_pdf/20/50/policy-12-046.PMC5473474.pdf
< http://news.gc.ca/web/article-en.do?nid=966489 >.,Non-OADS,/arxiv_data1/oa_pdf/20/50/policy-12-046.PMC5473474.pdf
< http://news.gc.ca/web/article-en.do?nid=670949 >.,Non-OADS,/arxiv_data1/oa_pdf/20/50/policy-12-046.PMC5473474.pdf
< http://www.cic.gc.ca/english/department/media/ backgrounders/2012/2012-02-16f.asp >.,Non-OADS,/arxiv_data1/oa_pdf/20/50/policy-12-046.PMC5473474.pdf
< http://www.cic.gc.ca/english/resources/audit/ifh.asp >.,Non-OADS,/arxiv_data1/oa_pdf/20/50/policy-12-046.PMC5473474.pdf
< http://www.ndp.ca/news/ndp-calls-conservatives-to-restore-health-care-vulnerable-refugees >.,Non-OADS,/arxiv_data1/oa_pdf/20/50/policy-12-046.PMC5473474.pdf
