Sentence,class,file
Appl Environ Microbiol 2005; 71:1328- 35; PMID:15746335; http://dx.doi.org/10.1128/ AEM.71.3.1328-1335.2005.,OADS,/arxiv_data1/oa_pdf/ef/09/mge-3-e24210.PMC3661144.pdf
J Bacteriol 2002; 184:2131- 40; PMID:11914344; http://dx.doi.org/10.1128/ JB.184.8.2131-2140.2002.,Non-OADS,/arxiv_data1/oa_pdf/ef/09/mge-3-e24210.PMC3661144.pdf
Curr Opin Biotechnol 2009; 20:616-22;  PMID:19850467; http://dx.doi.org/10.1016/j.cop-bio.2009.09.010.,OADS,/arxiv_data1/oa_pdf/ef/09/mge-3-e24210.PMC3661144.pdf
Proc Natl Acad Sci U S  A 1999; 96:1971-6; PMID:10051579; http://dx.doi.,OADS,/arxiv_data1/oa_pdf/ef/09/mge-3-e24210.PMC3661144.pdf
Mol Biol Evol  2006; 23:254-67; PMID:16221896; http://dx.doi.,OADS,/arxiv_data1/oa_pdf/ef/09/mge-3-e24210.PMC3661144.pdf
Mol Phylogenet Evol 2009; 51:465- 71; PMID:19298858; http://dx.doi.org/10.1016/j.,OADS,/arxiv_data1/oa_pdf/ef/09/mge-3-e24210.PMC3661144.pdf
Appl Microbiol Biotechnol 2013; 97:87-98;  PMID:23143535; http://dx.doi.org/10.1007/s00253- 012-4551-9.,Non-OADS,/arxiv_data1/oa_pdf/ef/09/mge-3-e24210.PMC3661144.pdf
"Mobile Genetic Elements 2013; 3:e24263; http://dx.doi.org/10.4161/mge.24263 *Correspondence to: Maria Pilar Garcillán-Barcia;  Email: garcilmp@unican.esPhylogenetic reconstruction of three  highly conserved proteins involved  in bacterial conjugation (relaxase, cou - pling protein and a type IV secretion sys - tem ATPase) allowed the classification of transmissible elements in relaxase MOB families and mating pair formation MPF groups.",OADS,/arxiv_data1/oa_pdf/8d/b4/mge-3-e24263.PMC3661145.pdf
PLoS One 2012; 7:e40438; PMID:22792321; http://dx.doi.org/10.1371/journal.pone.0040438,Non-OADS,/arxiv_data1/oa_pdf/8d/b4/mge-3-e24263.PMC3661145.pdf
J Bacteriol 2009; 191:6877- 87; PMID:19767437; http://dx.doi.org/10.1128/JB.00918-09.,Non-OADS,/arxiv_data1/oa_pdf/8d/b4/mge-3-e24263.PMC3661145.pdf
J Bacteriol 2010; 192:2655-69; PMID:20363945; http://dx.doi.,Non-OADS,/arxiv_data1/oa_pdf/8d/b4/mge-3-e24263.PMC3661145.pdf
Curr Opin Biotechnol 2012; 23:537-44;  PMID:22189002; http://dx.doi.org/10.1016/j.cop - bio.2011.11.031.,OADS,/arxiv_data1/oa_pdf/8d/b4/mge-3-e24263.PMC3661145.pdf
PLoS Genet 2011; 7:e1002222;  PMID:21876676; http://dx.doi.org/10.1371/journal.,Non-OADS,/arxiv_data1/oa_pdf/8d/b4/mge-3-e24263.PMC3661145.pdf
FEMS  Microbiol Rev 2004; 28:79-100; PMID:14975531;  http://dx.doi.org/10.1016/j.femsre.2003.09.001.,OADS,/arxiv_data1/oa_pdf/8d/b4/mge-3-e24263.PMC3661145.pdf
FEMS Microbiol Rev 2009; 33:657-87; PMID:19396961; http://dx.doi.,OADS,/arxiv_data1/oa_pdf/8d/b4/mge-3-e24263.PMC3661145.pdf
