Sentence,class,file
"Available from: http://www.hpvcenter.se/html/refclones.html    3. de Villiers EM, Fauquet C, Broker TR, Bernard HU, zur Hausen H. Classification of papillomaviruses.",OADS,/arxiv_data1/oa_pdf/60/10/jgo-27-e21.PMC4717226.pdf
"9/12 http://ejgo.orgHuman papillomavirus genotyping http://doi.org/10.3802/jgo.2016.27.e 21 11. zur Hausen H, Meinhof W , Scheiber W , Bornkamm GW .",OADS,/arxiv_data1/oa_pdf/60/10/jgo-27-e21.PMC4717226.pdf
10/12 http://ejgo.orgHuman papillomavirus genotyping http://doi.org/10.3802/jgo.2016.27.e 21Cell Mol Life Sci 2009;66:1700 -17.,Non-OADS,/arxiv_data1/oa_pdf/60/10/jgo-27-e21.PMC4717226.pdf
11/12 http://ejgo.orgHuman papillomavirus genotyping http://doi.org/10.3802/jgo.2016.27.e 21 45.,Non-OADS,/arxiv_data1/oa_pdf/60/10/jgo-27-e21.PMC4717226.pdf
Available from: http://www.fda.gov/NewsEvents/Newsroom/ PressAnnouncements/ucm394773.htm    53.,Non-OADS,/arxiv_data1/oa_pdf/60/10/jgo-27-e21.PMC4717226.pdf
12/12 http://ejgo.orgHuman papillomavirus genotyping http://doi.org/10.3802/jgo.2016.27.e 21based self-sampling in combination with GP5+/6+-PCR-based hrHPV testing: high concordance with  physician-taken cervical scrapes for HPV genotyping and detection of high-grade CIN.,Non-OADS,/arxiv_data1/oa_pdf/60/10/jgo-27-e21.PMC4717226.pdf
"1/18 pISSN 2005-0380 · eISSN 2005-0399 http://ejgo.orgToward precision medicine for  preserving fertility in cancer patients: existing and emerging fertility preservation options for women So-Youn Kim,1,* Seul Ki Kim,2,3,* Jung Ryeol Lee,2,3 Teresa K. Woodruﬀ 1  1Department of Obstetrics and Gynecology, Northwestern University Feinberg School of Medicine,   Chicago, IL, USA 2Department of Obstetrics and Gynecology, Seoul National University Bundang Hospital, Seongnam, Korea 3Department of Obstetrics and Gynecology, Seoul National University College of Medicine, Seoul, Korea ABSTRACT As the number of young cancer survivors increases, quality of life after cancer treatment  is becoming an ever more important consideration.",Non-OADS,/arxiv_data1/oa_pdf/d2/d7/jgo-27-e22.PMC4717227.pdf
ORCID So-Youn Kimhttp://orcid.org/0000-0003-1013-6852Seul Ki Kimhttp://orcid.org/0000-0002-1647-6711Jung Ryeol Leehttp://orcid.org/0000-0003-3743-2934J Gynecol Oncol.,Non-OADS,/arxiv_data1/oa_pdf/d2/d7/jgo-27-e22.PMC4717227.pdf
2016 Mar;27(2):e22 http://doi.org/10.,Non-OADS,/arxiv_data1/oa_pdf/d2/d7/jgo-27-e22.PMC4717227.pdf
"2/18 http://ejgo.orgExisting and emerging technologies http://doi.org/10.3802/jgo.2016.27.e 22Funding This work was supported by the Center for Reproductive Health after Disease (P50HD076188) from the National Institutes of Health National Center for Translational Research in Reproduction and Infertility (NCTRI) (to SYK and TKW) and by a grant of the Korea Healthcare Technology R&D Project, Ministry of Health and Welfare, Republic of Korea (HI12C0055) (to SKK and JRL).",Non-OADS,/arxiv_data1/oa_pdf/d2/d7/jgo-27-e22.PMC4717227.pdf
3/18 http://ejgo.orgExisting and emerging technologies http://doi.org/10.3802/jgo.2016.27.e 22IRB approval.,Non-OADS,/arxiv_data1/oa_pdf/d2/d7/jgo-27-e22.PMC4717227.pdf
"4/18 http://ejgo.orgExisting and emerging technologies http://doi.org/10.3802/jgo.2016.27.e 22and 30%, respectively [14].",OADS,/arxiv_data1/oa_pdf/d2/d7/jgo-27-e22.PMC4717227.pdf
5/18 http://ejgo.orgExisting and emerging technologies http://doi.org/10.3802/jgo.2016.27.e 222.,Non-OADS,/arxiv_data1/oa_pdf/d2/d7/jgo-27-e22.PMC4717227.pdf
6/18 http://ejgo.orgExisting and emerging technologies http://doi.org/10.3802/jgo.2016.27.e 22resection prior to chemo- or radiation therapy.,Non-OADS,/arxiv_data1/oa_pdf/d2/d7/jgo-27-e22.PMC4717227.pdf
"7/18 http://ejgo.orgExisting and emerging technologies http://doi.org/10.3802/jgo.2016.27.e 221) Cryopreservation of ovarian cortical tissue In 2004, Donnez et al.",OADS,/arxiv_data1/oa_pdf/d2/d7/jgo-27-e22.PMC4717227.pdf
"8/18 http://ejgo.orgExisting and emerging technologies http://doi.org/10.3802/jgo.2016.27.e 22of vitrified human ovarian tissues [48,49].",Non-OADS,/arxiv_data1/oa_pdf/d2/d7/jgo-27-e22.PMC4717227.pdf
"9/18 http://ejgo.orgExisting and emerging technologies http://doi.org/10.3802/jgo.2016.27.e 22leukemic cells [65], which could be reintroduced into patients when the tissue is transplanted  [66,67].",Non-OADS,/arxiv_data1/oa_pdf/d2/d7/jgo-27-e22.PMC4717227.pdf
"10/18 http://ejgo.orgExisting and emerging technologies http://doi.org/10.3802/jgo.2016.27.e 22cells carrying the patient’s genetic material may be considered, including oogonial stem  cells (OSCs) ( Fig.",Non-OADS,/arxiv_data1/oa_pdf/d2/d7/jgo-27-e22.PMC4717227.pdf
"11/18 http://ejgo.orgExisting and emerging technologies http://doi.org/10.3802/jgo.2016.27.e 22AS101 has been identified as an immunomodulator that protects oocytes in large growing  follicles co-treated with Cy, through reduction of apoptosis and down-regulation of the PI3K/ PTEN/AKT pathway, resulting in a significantly higher numbers of pups from mice treated with Cy and AS101 than with Cy alone [110].",Non-OADS,/arxiv_data1/oa_pdf/d2/d7/jgo-27-e22.PMC4717227.pdf
"12/18 http://ejgo.orgExisting and emerging technologies http://doi.org/10.3802/jgo.2016.27.e 22ACKNOWLEDGMENTS We thank Marilia H. Cordeiro for contribution in the figures and comments on the  manuscript and Stacey C. Tobin, Maxwell E. Edmonds, and Megan M. Romero for editing  the manuscript.",Non-OADS,/arxiv_data1/oa_pdf/d2/d7/jgo-27-e22.PMC4717227.pdf
13/18 http://ejgo.orgExisting and emerging technologies http://doi.org/10.3802/jgo.2016.27.e 22 17.,Non-OADS,/arxiv_data1/oa_pdf/d2/d7/jgo-27-e22.PMC4717227.pdf
14/18 http://ejgo.orgExisting and emerging technologies http://doi.org/10.3802/jgo.2016.27.e 22 34.,Non-OADS,/arxiv_data1/oa_pdf/d2/d7/jgo-27-e22.PMC4717227.pdf
15/18 http://ejgo.orgExisting and emerging technologies http://doi.org/10.3802/jgo.2016.27.e 22 50.,Non-OADS,/arxiv_data1/oa_pdf/d2/d7/jgo-27-e22.PMC4717227.pdf
16/18 http://ejgo.orgExisting and emerging technologies http://doi.org/10.3802/jgo.2016.27.e 22 66.,Non-OADS,/arxiv_data1/oa_pdf/d2/d7/jgo-27-e22.PMC4717227.pdf
17/18 http://ejgo.orgExisting and emerging technologies http://doi.org/10.3802/jgo.2016.27.e 22 84.,Non-OADS,/arxiv_data1/oa_pdf/d2/d7/jgo-27-e22.PMC4717227.pdf
18/18 http://ejgo.orgExisting and emerging technologies http://doi.org/10.3802/jgo.2016.27.e 22 103.,Non-OADS,/arxiv_data1/oa_pdf/d2/d7/jgo-27-e22.PMC4717227.pdf
1/3 pISSN 2005-0380 · eISSN 2005-0399 http://ejgo.orgSentinel lymph node detection in  endometrial cancer: make injection site the difference?,Non-OADS,/arxiv_data1/oa_pdf/c8/2e/jgo-27-e23.PMC4717228.pdf
2016 Mar;27(2):e23 http://doi.org/10.,Non-OADS,/arxiv_data1/oa_pdf/c8/2e/jgo-27-e23.PMC4717228.pdf
"2/3 http://doi.org/10.3802/jgo.2016.27.e 23 http://ejgo.orgCervical injection in sentinel lymph node mapping in endometrial cancerusing hysteroscopic tracer’s injection, suggested that more than 50% of patients had sentinel  nodes in the para-aortic area (±pelvis); while, only 44% had sentinel nodes limited to the pelvis [12].",Non-OADS,/arxiv_data1/oa_pdf/c8/2e/jgo-27-e23.PMC4717228.pdf
3/3 http://doi.org/10.3802/jgo.2016.27.e 23 http://ejgo.orgCervical injection in sentinel lymph node mapping in endometrial cancer 4.,Non-OADS,/arxiv_data1/oa_pdf/c8/2e/jgo-27-e23.PMC4717228.pdf
"This is an open-access article distributed under the terms of the Creative Commons Attribution-NonCommercial 4.0 International  License (http://creativecommons.org/licenses/by-nc/4.0/) which permits copy and redistribute the material just in noncommercial usages, provided the original  work is properly cited.1.",Non-OADS,/arxiv_data1/oa_pdf/21/ce/hepatmon-15-11-33462.PMC4717287.pdf
"This is an open-access article distributed under the terms of the Creative Commons Attribution-NonCommercial 4.0 International  License (http://creativecommons.org/licenses/by-nc/4.0/) which permits copy and redistribute the material just in noncommercial usages, provided the original  work is properly cited.1.",Non-OADS,/arxiv_data1/oa_pdf/d6/40/hepatmon-15-11-31987.PMC4717312.pdf
Available at: http://www.fda.gov/ohrms/dockets/ac/05/transcripts/2005–4186T1.pdf (accessed 8 October 2015).,Non-OADS,/arxiv_data1/oa_pdf/d1/16/10.1177_0269881115620460.PMC4717319.pdf
Available at: http://www.accessdata.fda.gov/drugsatfda_docs/label/2010/200603s001lbl.pdf (accessed 8 October 2015).,Non-OADS,/arxiv_data1/oa_pdf/d1/16/10.1177_0269881115620460.PMC4717319.pdf
"See: http://creativecommons.org/ licenses/by-nc/4.0/ References 1 Patel HC, Bouamra O, Woodford M, et al.",Non-OADS,/arxiv_data1/oa_pdf/70/5c/emermed-2015-205454.PMC4717351.pdf
"See: http://creativecommons.org/ licenses/by-nc/4.0/ REFERENCES 1 Sekhon LH, Fehlings MG.",Non-OADS,/arxiv_data1/oa_pdf/a6/f0/emermed-2014-204553.PMC4717352.pdf
See: http://creativecommons.org/licenses/by-nc/4.0/ REFERENCES 1 Severe Injury in Children (England & Wales).,Non-OADS,/arxiv_data1/oa_pdf/46/cd/emermed-2015-205285.PMC4717353.pdf
"2012. http://www.tarn.ac.uk 2 Deasy C, Gabbe B, Palmer C, et al.",Non-OADS,/arxiv_data1/oa_pdf/46/cd/emermed-2015-205285.PMC4717353.pdf
"3 https://www.tarn.ac.uk/Content.aspx?c=34774 Discala C, Siege R, Li G, et al.",Non-OADS,/arxiv_data1/oa_pdf/46/cd/emermed-2015-205285.PMC4717353.pdf
"See: http://creativecommons.org/licenses/by-nc/4.0/ REFERENCES 1 Krug EG, Sharma GK, Lozano R. The global burden of injuries.",Non-OADS,/arxiv_data1/oa_pdf/77/2b/emermed-2015-205265.PMC4717354.pdf
Applications for additional data can be made in accordance with the TARN data sharing policy (https://www.tarn.ac.uk/).,OADS,/arxiv_data1/oa_pdf/c7/a4/emermed-2015-205217.PMC4717355.pdf
See: http://creativecommons.org/ licenses/by-nc/4.0/ REFERENCES 1 National Audit Of ﬁce.,Non-OADS,/arxiv_data1/oa_pdf/c7/a4/emermed-2015-205217.PMC4717355.pdf
To view please visit the journal online(http://dx.doi.org/10.1136/gutjnl-2014-307545).,Non-OADS,/arxiv_data1/oa_pdf/12/d1/gutjnl-2014-307545.PMC4717356.pdf
All calculations were performed using R V .2.9.0 software (http://www.r-project.org).,OADS,/arxiv_data1/oa_pdf/12/d1/gutjnl-2014-307545.PMC4717356.pdf
"See: http://creativecommons.org/ licenses/by-nc/4.0/ REFERENCES 1 Bosch FX, Ribes J, D ı0az M, et al.",Non-OADS,/arxiv_data1/oa_pdf/12/d1/gutjnl-2014-307545.PMC4717356.pdf
To viewplease visit the journal online(http://dx.doi.org/10.1136/ gutjnl-2014-307918).,OADS,/arxiv_data1/oa_pdf/d9/4c/gutjnl-2014-307918.PMC4717359.pdf
"See: http://creativecommons.org/ licenses/by-nc/4.0/ REFERENCES 1 Jemal A, Bray F, Center MM, et al.",Non-OADS,/arxiv_data1/oa_pdf/d9/4c/gutjnl-2014-307918.PMC4717359.pdf
http://cancergenome.nih.gov/ (assessed 9 Nov 2014).,Non-OADS,/arxiv_data1/oa_pdf/d9/4c/gutjnl-2014-307918.PMC4717359.pdf
"See: http://creativecommons.org/ licenses/by-nc/4.0/ REFERENCES 1 Quah E, Tan KC, Saw SL, et al.",Non-OADS,/arxiv_data1/oa_pdf/0e/4c/tobaccocontrol-2014-051821.PMC4717360.pdf
"2010. http://www.gso.gov.vn/default_en.aspx?tabid=515&idmid=5&ItemID=11229 28 Yang L, Sung HY, Mao Z, et al.",OADS,/arxiv_data1/oa_pdf/0e/4c/tobaccocontrol-2014-051821.PMC4717360.pdf
To viewplease visit the journal online (http://dx.doi.org/10.1136/ gutjnl-2014-308188).,OADS,/arxiv_data1/oa_pdf/51/82/gutjnl-2014-308188.PMC4717362.pdf
"Correspondence to Dr Giovanni Barbara, Department of Medical and Surgical Sciences, St. Orsola-Malpighi Hospital —Building # 5, Via Massarenti, Bologna 9-I-40138, Italy; giovanni.barbara@unibo.it Received 2 August 2014 Revised 18 November 2014 Accepted 20 November 2014 Published Online First22 December 2014 ▸http://dx.doi.org/10.1136/ gutjnl-2015-309122▸http://dx.doi.org/10.1136/ gutjnl-2015-310024 To cite: Barbara G, Cremon C, Annese V, et al.",Non-OADS,/arxiv_data1/oa_pdf/51/82/gutjnl-2014-308188.PMC4717362.pdf
"See: http://creativecommons.org/ licenses/by-nc/4.0/ REFERENCES 1 Longstreth GF, Thompson WG, Chey WD, et al.",Non-OADS,/arxiv_data1/oa_pdf/51/82/gutjnl-2014-308188.PMC4717362.pdf
"See: http://creativecommons.org/licenses/by-nc/3.0/ REFERENCES 1 Diehr P, Koepsell T, Cheadle A, et al.",Non-OADS,/arxiv_data1/oa_pdf/87/74/tobaccocontrol-2013-051473.PMC4717363.pdf
See: http://creativecommons.org/licenses/by-nc/4.0/ REFERENCES 1 Agarwal R. Nonhematological bene ﬁts of iron.,Non-OADS,/arxiv_data1/oa_pdf/06/1d/ejhpharm-2015-000697.PMC4717364.pdf
To view please visit the journal online(http://dx.doi.org/10.1136/gutjnl-2015-309618).,Non-OADS,/arxiv_data1/oa_pdf/e1/ba/gutjnl-2015-309618.PMC4717365.pdf
"1Department of Microbiology and Immunology, KU Leuven,Rega Institute, Leuven, Belgium 2VIB, Center for the Biology of Disease, Leuven, Belgium 3Faculty of Sciences and Bioengineering Sciences, Microbiology Unit, VrijeUniversiteit Brussel, Brussels,Belgium Correspondence to Jeroen Raes, Department of Microbiology and Immunology,KU Leuven, Rega Institute,Herestraat 49, Leuven B-3000, Belgium; jeroen.raes@med.kuleuven.be DV and GF contributed equally.Received 19 March 2015 Revised 11 May 2015 Accepted 25 May 2015Published Online First11 June 2015 ▸http://dx.doi.org/10.1136/ gutjnl-2015-310043 To cite: Vandeputte D, Falony G, Vieira-Silva S, et al .Gut2016; 65: 57–62.ABSTRACT Objective The assessment of potentially confounding factors affecting colon microbiota composition isessential to the identi ﬁcation of robust microbiome based disease markers.",Non-OADS,/arxiv_data1/oa_pdf/e1/ba/gutjnl-2015-309618.PMC4717365.pdf
Clustering of thesamples into enterotypes was done using the cluster package 21 according to instructions available on http://enterotyping.embl.de.,OADS,/arxiv_data1/oa_pdf/e1/ba/gutjnl-2015-309618.PMC4717365.pdf
"See: http://creativecommons.org/ licenses/by-nc/4.0/REFERENCES 1 Qin J, Li R, Raes J, et al .",Non-OADS,/arxiv_data1/oa_pdf/e1/ba/gutjnl-2015-309618.PMC4717365.pdf
To view please visit the journal online (http://dx.doi.org/10.1136/bjophthalmol-2014-305938).,Non-OADS,/arxiv_data1/oa_pdf/e2/4a/bjophthalmol-2014-305938.PMC4717369.pdf
"See: http://creativecommons.org/ licenses/by-nc/4.0/ REFERENCES 1 Thomas RL, Dunstan F, Luzio SD, et al.",Non-OADS,/arxiv_data1/oa_pdf/e2/4a/bjophthalmol-2014-305938.PMC4717369.pdf
"England: Public Health Resource Unit, 2006. http://www.casp-uk.net/ 24 Steyerberg EW, Moons KG, van der Windt DA, et al.",Non-OADS,/arxiv_data1/oa_pdf/e2/4a/bjophthalmol-2014-305938.PMC4717369.pdf
