URL SURT Directory File Repo Corpus
https://gitlab.com com,gitlab)/ 201907 1907.04002v1.pdf arxiv GitLab
https://about.gitlab.com com,gitlab,about)/ 201907 1907.09520v1.pdf arxiv GitLab
https://docs.gitlab.com/ee/ci com,gitlab,docs)/ee/ci 202106 2106.05726v1.pdf arxiv GitLab
https://about.gitlab.com com,gitlab,about)/ 201507 1507.08217v1.pdf arxiv GitLab
https://gitlab.coml.lscp.ens.fr/mbernard/phonemizer fr,ens,lscp,coml,gitlab)/mbernard/phonemizer 202002 2002.02848v1.pdf arxiv GitLab
https://about.gitlab.com com,gitlab,about)/ 202002 2002.06304v1.pdf arxiv GitLab
https://docs.gitlab.com/ee/ci com,gitlab,docs)/ee/ci 202003 2003.00584v1.pdf arxiv GitLab
https://about.gitlab.com com,gitlab,about)/ 202003 2003.00898v2.pdf arxiv GitLab
https://about.gitlab.com/company com,gitlab,about)/company 202003 2003.07970v1.pdf arxiv GitLab
https://docs.gitlab.com/ee/user/project/repository/repository_mirroring.html com,gitlab,docs)/ee/user/project/repository/repository_mirroring.html 202003 2003.07970v1.pdf arxiv GitLab
https://gitlab.com com,gitlab)/ 202003 2003.12510v1.pdf arxiv GitLab
https://docs.gitlab.com com,gitlab,docs)/ 201910 1910.00536v1.pdf arxiv GitLab
https://about.gitlab.com com,gitlab,about)/ 201910 1910.09124v2.pdf arxiv GitLab
https://docs.gitlab.com/ee/ci com,gitlab,docs)/ee/ci 202111 2111.06301v1.pdf arxiv GitLab
https://docs.gitlab.com/ee/user/profile/account/two_factor_authentication.html com,gitlab,docs)/ee/user/profile/account/two_factor_authentication.html 202111 2111.11475v1.pdf arxiv GitLab
https://docs.gitlab.com/ee/ci/yaml/#needs com,gitlab,docs)/ee/ci/yaml 202111 2111.11607v1.pdf arxiv GitLab
https://docs.gitlab.com/ee/user/packages/package_registry com,gitlab,docs)/ee/user/packages/package_registry 202111 2111.11607v1.pdf arxiv GitLab
https://docs.gitlab.com/ee/development/experiment_guide/experimentation.html com,gitlab,docs)/ee/development/experiment_guide/experimentation.html 202111 2111.11607v1.pdf arxiv GitLab
https://docs.gitlab.com/ee/ci/interactive_web_terminal com,gitlab,docs)/ee/ci/interactive_web_terminal 202111 2111.11607v1.pdf arxiv GitLab
https://docs.gitlab.com/ee/ci/yaml/#parallelmatrix com,gitlab,docs)/ee/ci/yaml 202111 2111.11607v1.pdf arxiv GitLab
https://docs.gitlab.com/ee/ci/pipelines/multi_project_pipelines.html#multi-project-pipeline-visualization com,gitlab,docs)/ee/ci/pipelines/multi_project_pipelines.html 202111 2111.11607v1.pdf arxiv GitLab
https://docs.gitlab.com/ee/ci/yaml/#stage-pre com,gitlab,docs)/ee/ci/yaml 202111 2111.11607v1.pdf arxiv GitLab
https://docs.gitlab.com/ee/operations/feature_flags.html com,gitlab,docs)/ee/operations/feature_flags.html 202111 2111.11607v1.pdf arxiv GitLab
https://docs.gitlab.com/ee/operations com,gitlab,docs)/ee/operations 202111 2111.11607v1.pdf arxiv GitLab
https://docs.gitlab.com/ee/ci/yaml/includes.html com,gitlab,docs)/ee/ci/yaml/includes.html 202111 2111.11607v1.pdf arxiv GitLab
https://docs.gitlab.com/ee/ci/variables com,gitlab,docs)/ee/ci/variables 202111 2111.11607v1.pdf arxiv GitLab
https://docs.gitlab.com/ee/ci/yaml/#extends com,gitlab,docs)/ee/ci/yaml 202111 2111.11607v1.pdf arxiv GitLab
https://about.gitlab.com com,gitlab,about)/ 202111 2111.12574v1.pdf arxiv GitLab
https://gitlab.com com,gitlab)/ 201802 1802.08871v1.pdf arxiv GitLab
https://gitlab.com com,gitlab)/ 202107 2107.08038v1.pdf arxiv GitLab
https://docs.gitlab.com/ee/user/project/issues com,gitlab,docs)/ee/user/project/issues 202107 2107.11273v1.pdf arxiv GitLab
https://about.gitlab.com com,gitlab,about)/ 202107 2107.14652v1.pdf arxiv GitLab
https://about.gitlab.com/2018/06/03/movingtogitlab com,gitlab,about)/2018/06/03/movingtogitlab 201906 1906.08076v1.pdf arxiv GitLab
https://get.gitlab.com/global-developer-survey com,gitlab,get)/global-developer-survey 201707 1707.02662v1.pdf arxiv GitLab
https://about.gitlab.com com,gitlab,about)/ 201612 1612.04164v1.pdf arxiv GitLab
