Sentence,class,file
"News http://t.co/L6IYHt6d Santorum suspends campaign, clearing Romney’s path http://t.co/HC3XtptZ #cnn #BREAKING: Rick #Santorum suspends his campaign for president, making Mitt #Romney likely Republican nominee.",Non-OADS,1310.2665v1.pdf
http://t.co/zva9ZK3i Rick Santorum quits campaign to leave ﬁeld clear for Romney http://t.co/oKVBUYo3 #News #CNN #Politico TABLE II.,Non-OADS,1310.2665v1.pdf
"Let Ω j≡Ω(θj,φj)∈S2be the set of points of each spherical patch jforj= 1, ..., N. One can deﬁne functions S: Ωj→RandK: Ωj→R, that assign to 1These linear and non-linear coeﬃcients are available at http://planck.mpa-garching.mpg.de/cmb/fnl-simulatio ns/.",Non-OADS,1310.2667v1.pdf
http://dx.doi.org/10.1145/2512938.2512956.Keywords Social media; Twitter; trends; geography; mobility 1.,Non-OADS,1310.2671v1.pdf
"Available at SSRN: http://dx.doi.org/10.2139/ssrn.2235423 , 2013.",Non-OADS,1310.2671v1.pdf
"http://en.wikipedia.org/wiki/Cities_and_ metropolitan_areas_of_the_United_States , 2012.",Non-OADS,1310.2671v1.pdf
"http://en.wikipedia.org/wiki/List_of_ the_busiest_airports_in_the_United_States , 2012.",Non-OADS,1310.2671v1.pdf
"[3] Barlow, M. and Chen, X., Gaussian bounds and Parabolic Ha rnack inequality on locally irregular graphs, http://www.math.ubc.ca/ ∼barlow/preprints/107 gbirreg.pdf, preprint 2013 [4] Berger, N., Biskup, M., Hoﬀman, C.E.",Non-OADS,1310.2680v2.pdf
"http://www.icmp.lviv.ua/journal Regular article StrangeInter-layerPropertiesofBa(Fe 1¡xCox)2As2 AppearinginUltrasonicMeasurements S.Simayi¤1,K.Sakano1,H.Takezawa1,M.Nakamura1,Y.Nakanishi1,K.Kihou2,M.",Non-OADS,1310.2681v1.pdf
[13]http://en.wikipedia.org/wiki/Fisher_information .,Non-OADS,1310.2687v3.pdf
"Primes psuch that (( p−1)/2)!/n⌉}ationslash= 1 mod p. http://mathoverflow.net/questions/16141 , retrieved 6th September 2013, 2013.",Non-OADS,1310.2691v1.pdf
"preprint http://arxiv.org/abs/1209.3436 , to appear in Mathematics of Compu- tation, 2012.",Non-OADS,1310.2691v1.pdf
"The Sage Development Team, 2013. http://www.sagemath.org .",Non-OADS,1310.2691v1.pdf
"(Snowmass 2013 CF4 Working Group Re port), Dark Mat- ter in the Coming Decade: Complementary Paths to Discovery a nd Beyond, http://arxiv.org/abs/1310.8621 18.",Non-OADS,1310.2695v2.pdf
"[53] CDFEdatabase, http://cdfe.sinp.msu.ru/services/g drsearch.html.",Non-OADS,1310.2697v2.pdf
http://dx.doi.org/10.1155/2012/197385%]197385 .,OADS,1310.2698v1.pdf
"thesis, a vailable at http://horn.tau.ac.il/publications/Thesis_GS.pdf .",Non-OADS,1310.2700v2.pdf
"Available: http://dx.doi.org/10.1002/cta.521 [2] J.Hespanha, “Stochastichybridsystems: Applicationt o communication networks,” in Hybrid Systems: Compu- tation and Control , ser.",OADS,1310.2701v1.pdf
"Available: http://dx.doi.org/10.1007/3-540-46430-1-37 [13] K. H. Johansson, M. Egerstedt, J. Lygeros, and S. Sastry, “On the regularization of zeno hybrid automata,” Systems & Control Letters , vol.",OADS,1310.2701v1.pdf
"Available: http://www.sciencedirect.com/science/article/pii/S0 167691199000596 [14] A. Ames, H. Zheng, R. Gregg, and S. Sastry, “Is there life after zeno?",Non-OADS,1310.2701v1.pdf
